iter	Logloss
0	0.6887141261
1	0.6839165523
2	0.677447615
3	0.6744500522
4	0.6679828249
5	0.664478302
6	0.6590209172
7	0.6547601634
8	0.6484094817
9	0.644270009
10	0.6416697667
11	0.6381874084
12	0.6349735918
13	0.631583444
14	0.6259601198
15	0.6217957858
16	0.6149399856
17	0.610033101
18	0.6053404972
19	0.60034548
20	0.5962719753
21	0.5903896463
22	0.5856671827
23	0.5819984962
24	0.5765672881
25	0.5719996485
26	0.5694192031
27	0.5675242194
28	0.5647189699
29	0.560907627
30	0.5563517603
31	0.5528139575
32	0.5509273595
33	0.5495388097
34	0.5467108365
35	0.5406103134
36	0.5378609361
37	0.5342255625
38	0.5318888631
39	0.5289125771
40	0.5255816887
41	0.5236279718
42	0.5193580759
43	0.5168866782
44	0.5140126327
45	0.5125695919
46	0.509682458
47	0.5074545762
48	0.5040778456
49	0.5021634924
50	0.4992520563
51	0.4965848594
52	0.4940484146
53	0.4914610633
54	0.4888681872
55	0.4864642045
56	0.481703265
57	0.4805280093
58	0.4786229627
59	0.4757975217
60	0.4722123639
61	0.4703809804
62	0.467660312
63	0.4654194733
64	0.4623631444
65	0.4594652899
66	0.4574473151
67	0.4547632152
68	0.4527136704
69	0.4497569183
70	0.4464560542
71	0.4443752683
72	0.442522904
73	0.4403184036
74	0.4383750126
75	0.4367224923
76	0.4351364004
77	0.4328818486
78	0.4301540441
79	0.4278451328
80	0.4253556811
81	0.4245784365
82	0.4225736815
83	0.4208552262
84	0.416596314
85	0.4135575788
86	0.4099704808
87	0.4078130393
88	0.4059452188
89	0.4040960443
90	0.4018795737
91	0.4000649288
92	0.3975101339
93	0.3961384214
94	0.3954798929
95	0.393896662
96	0.3914281911
97	0.3893456623
98	0.3881531419
99	0.3864017355
100	0.385747778
101	0.3829201665
102	0.3819839543
103	0.3804409422
104	0.3778414891
105	0.3759016826
106	0.3746395111
107	0.3719485382
108	0.3700473391
109	0.3676837066
110	0.3655010092
111	0.3639810168
112	0.3611754713
113	0.3604447266
114	0.3592748313
115	0.3587233445
116	0.3571304124
117	0.3559689029
118	0.3549800412
119	0.3536264814
120	0.3522162602
121	0.3503531094
122	0.3483319776
123	0.3463544188
124	0.3442306847
125	0.342447807
126	0.3400325775
127	0.3377471792
128	0.3372267361
129	0.3349583067
130	0.3330800287
131	0.3319404207
132	0.3296271028
133	0.3282027738
134	0.3269907853
135	0.3264234806
136	0.3256174943
137	0.3231664197
138	0.3211350605
139	0.3203645246
140	0.3191955829
141	0.3187459748
142	0.3173238162
143	0.3160627299
144	0.3146510617
145	0.3129621703
146	0.3114543454
147	0.3102614962
148	0.3088654485
149	0.3076287302
150	0.3061963772
151	0.3050128674
152	0.3042676202
153	0.3022147869
154	0.3010709039
155	0.2999851293
156	0.297802958
157	0.2970680368
158	0.2960273808
159	0.2938684266
160	0.2921993979
161	0.2916429125
162	0.2900307754
163	0.2894071711
164	0.2888725544
165	0.2876695436
166	0.2855467961
167	0.284638931
168	0.2838320897
169	0.2826655158
170	0.2822895379
171	0.2817138146
172	0.2806150502
173	0.2794374269
174	0.2782383623
175	0.2778910275
176	0.276578969
177	0.2760906877
178	0.2747040617
