iter	Logloss
0	0.688733334
1	0.685459476
2	0.6816390144
3	0.6794904921
4	0.6772321913
5	0.674265035
6	0.6709651099
7	0.669382392
8	0.6673939175
9	0.6651089986
10	0.663036516
11	0.6606884003
12	0.657108646
13	0.655263265
14	0.6517367045
15	0.6494317796
16	0.6473045349
17	0.6436164008
18	0.6408164978
19	0.6382944743
20	0.6357480367
21	0.6324993557
22	0.6294150458
23	0.6272466024
24	0.6248778873
25	0.622178226
26	0.6194451226
27	0.6168549008
28	0.615559472
29	0.6127700806
30	0.6110437181
31	0.6092232174
32	0.6066603767
33	0.6051132626
34	0.6023314582
35	0.6002548218
36	0.5982616001
37	0.595413759
38	0.5932409498
39	0.5916360643
40	0.5898094177
41	0.5883307139
42	0.5867910597
43	0.5852820502
44	0.5832884894
45	0.5816348182
46	0.5798248291
47	0.5791418287
48	0.5770589617
49	0.5756003486
50	0.5741287231
51	0.5724276225
52	0.5697508918
53	0.5676435683
54	0.5660733541
55	0.5644742754
56	0.562573878
57	0.5610496521
58	0.5591157277
59	0.556614346
60	0.5552366469
61	0.5532352024
62	0.5517190721
63	0.5505289714
64	0.5484283023
65	0.5462993622
66	0.5452671475
67	0.5431040446
68	0.5414014181
69	0.5397472805
70	0.5384673225
71	0.5374470181
72	0.5360709296
73	0.5347984314
74	0.5334965176
75	0.5316229926
76	0.5304030948
77	0.5285480075
78	0.5272226969
79	0.5259373983
80	0.5242563883
81	0.5237951491
82	0.5221972148
83	0.519837994
84	0.5185513814
85	0.5174501207
86	0.5157424503
87	0.5145851135
88	0.5133664449
89	0.5111751133
90	0.5102622138
91	0.5091894362
92	0.5082621257
93	0.5063981374
94	0.5048252953
95	0.5037538317
96	0.502454461
97	0.5007856581
98	0.499997796
99	0.4993214925
100	0.4979140388
101	0.4958329095
102	0.4953724755
103	0.4938046349
104	0.4926983303
105	0.4910195669
106	0.4892891778
107	0.4881134881
108	0.4866914113
109	0.4848476834
110	0.4839572906
111	0.4824057685
112	0.4813539293
113	0.4806800842
114	0.4793863932
115	0.4777141995
116	0.4766990662
117	0.4755321927
118	0.4739741431
119	0.4725530836
120	0.471507348
121	0.4709685855
122	0.4698376126
123	0.4680450439
124	0.4674869537
125	0.4668962267
126	0.4650582208
127	0.4641749912
128	0.4627004835
129	0.4617532518
130	0.4605867174
131	0.4592589484
132	0.458458964
133	0.4571949429
134	0.4561478085
135	0.4544118245
136	0.4532402462
137	0.4523590936
138	0.4514969296
139	0.4496000078
140	0.4485820346
141	0.4481906891
142	0.4475182427
143	0.4459520976
144	0.4444953071
145	0.4436699761
146	0.4432362027
147	0.4421368069
148	0.4415433248
149	0.440391371
150	0.4396809048
151	0.4385910034
152	0.4373543209
153	0.4368785434
154	0.4364582486
155	0.4353669061
156	0.4337693532
157	0.433125178
158	0.4327169206
159	0.4319826338
160	0.4310449388
161	0.4294789632
162	0.4279710558
163	0.4269337972
164	0.4258903927
165	0.4248149872
166	0.4235956404
167	0.422628106
168	0.4217908647
169	0.42095676
170	0.4199364556
171	0.4186391195
172	0.4180536058
173	0.4173644596
174	0.4159384833
175	0.4152559068
176	0.4144961463
177	0.4131406996
178	0.4124849955
179	0.4119205051
180	0.4113032871
181	0.41049597
