iter	Logloss
0	0.6905530539
1	0.6873938854
2	0.6846206503
3	0.681606776
4	0.6784085355
5	0.6748369073
6	0.670994931
7	0.667940159
8	0.6651397396
9	0.6617462686
10	0.6587503645
11	0.6558520814
12	0.6526112235
13	0.6496144589
14	0.6463333501
15	0.6437133599
16	0.6403527381
17	0.6367274356
18	0.6330858344
19	0.6308409088
20	0.6276548401
21	0.6244852252
22	0.621362007
23	0.6191113733
24	0.6170048852
25	0.6150156001
26	0.6122537869
27	0.6100268959
28	0.6080418969
29	0.6047650569
30	0.6013527489
31	0.5991184623
32	0.5968220849
33	0.5943554929
34	0.5922493327
35	0.5898007241
36	0.5876203102
37	0.5859803083
38	0.5826507331
39	0.5805720951
40	0.5784004117
41	0.5762202682
42	0.5738711414
43	0.5710025274
44	0.5683549802
45	0.5660497462
46	0.5631398276
47	0.561499453
48	0.5589331168
49	0.5569546351
50	0.5549291814
51	0.5530654044
52	0.5511367365
53	0.5488572472
54	0.5468823414
55	0.5444353212
56	0.5424945453
57	0.5400183986
58	0.5379953659
59	0.5359892229
60	0.5340290833
61	0.5318595235
62	0.5295822199
63	0.5280824023
64	0.5265154849
65	0.5240266636
66	0.5224440692
67	0.5203251299
68	0.5179292447
69	0.516481593
70	0.5151761575
71	0.5133036908
72	0.5112090537
73	0.5090034479
74	0.5072617933
75	0.5053169001
76	0.5027180628
77	0.5007337638
78	0.4989441858
79	0.49756858
80	0.4961694284
81	0.4944213554
82	0.4924520483
83	0.4905464051
84	0.4886116565
85	0.4871110451
86	0.4851447281
87	0.4832808765
88	0.4818434732
89	0.4803384156
90	0.4785806641
91	0.4770210209
92	0.4756376343
93	0.4740218092
94	0.4725097753
95	0.4704505552
96	0.4689291144
97	0.4671853278
98	0.4653027867
99	0.4641198546
100	0.4625842581
101	0.46129549
102	0.4598781178
103	0.458811005
104	0.4568028852
105	0.4553561385
106	0.4541279932
107	0.452593565
108	0.4510127813
109	0.449399533
110	0.4478818767
111	0.4465987739
112	0.4446847922
113	0.4431129758
114	0.4412457273
115	0.439442171
116	0.4384151609
117	0.4366179755
118	0.4355273476
119	0.4338335364
120	0.4324147409
121	0.4312112375
122	0.4300567973
123	0.429016987
124	0.4274953532
125	0.4259876444
126	0.4244740904
127	0.4230600764
128	0.4216940245
129	0.4206614312
130	0.419603204
131	0.418235829
132	0.4170548764
133	0.4159135247
134	0.4144686861
135	0.4131775396
136	0.4122525755
137	0.4115661093
138	0.410817136
139	0.4097784353
140	0.408555273
141	0.4070707495
142	0.4055457224
143	0.4037635302
144	0.4020982765
145	0.4006890078
146	0.3993187377
147	0.3979931258
148	0.3964595858
149	0.3954164837
150	0.3944215236
