iter	Passed	Remaining
161	1297	14718
162	1305	14715
163	1313	14701
164	1320	14689
165	1329	14688
166	1337	14677
167	1345	14667
168	1352	14656
169	1359	14635
170	1366	14617
171	1374	14609
172	1381	14593
173	1388	14568
174	1394	14546
175	1401	14527
176	1408	14508
177	1415	14487
178	1422	14468
179	1429	14450
180	1436	14439
181	1443	14422
182	1450	14402
183	1457	14389
184	1465	14377
185	1472	14362
186	1480	14355
187	1487	14340
188	1494	14322
189	1501	14301
190	1508	14289
191	1516	14276
192	1523	14261
193	1530	14246
194	1538	14237
195	1546	14231
196	1553	14221
197	1561	14209
198	1568	14197
199	1576	14186
200	1583	14172
201	1592	14174
202	1600	14168
203	1608	14163
204	1616	14154
205	1625	14153
206	1632	14140
207	1641	14140
208	1650	14143
209	1658	14140
210	1667	14140
211	1676	14143
212	1685	14137
213	1692	14124
214	1699	14110
215	1707	14100
216	1714	14088
217	1722	14081
218	1730	14072
219	1738	14062
220	1745	14046
221	1752	14032
222	1759	14020
223	1768	14023
224	1776	14014
225	1783	14001
226	1792	14001
227	1800	13992
228	1807	13978
229	1814	13962
230	1821	13951
231	1828	13936
232	1836	13931
233	1844	13922
234	1852	13912
235	1859	13897
236	1866	13885
237	1873	13872
238	1881	13862
239	1889	13852
240	1896	13840
241	1904	13832
242	1911	13822
243	1919	13813
244	1927	13804
245	1934	13793
246	1941	13779
247	1948	13763
248	1956	13755
249	1963	13744
250	1971	13735
251	1978	13720
252	1985	13709
253	1992	13695
254	1999	13684
255	2007	13673
256	2014	13664
257	2021	13650
258	2028	13635
259	2035	13622
260	2043	13614
261	2050	13604
262	2059	13599
263	2067	13595
264	2075	13588
265	2083	13579
266	2091	13572
267	2098	13561
268	2106	13557
269	2115	13552
270	2122	13543
271	2131	13542
272	2138	13530
273	2146	13519
274	2155	13518
275	2163	13511
276	2170	13500
277	2178	13495
278	2186	13490
279	2194	13482
280	2202	13474
281	2210	13468
282	2219	13466
283	2227	13458
284	2235	13454
285	2243	13445
286	2251	13439
287	2259	13430
288	2266	13419
289	2274	13413
290	2282	13403
291	2289	13393
292	2297	13383
293	2304	13371
294	2311	13358
295	2318	13345
296	2326	13339
297	2334	13332
298	2342	13329
299	2352	13329
300	2359	13317
301	2366	13307
302	2374	13300
303	2382	13292
304	2390	13284
305	2398	13278
306	2406	13269
307	2413	13258
308	2421	13249
309	2429	13242
310	2436	13234
311	2444	13223
312	2454	13227
313	2461	13218
314	2470	13214
315	2478	13206
316	2485	13196
317	2493	13186
318	2500	13178
319	2508	13169
320	2516	13160
321	2523	13151
322	2531	13144
323	2539	13137
324	2547	13128
325	2554	13118
326	2562	13110
327	2570	13102
328	2578	13095
329	2586	13087
330	2593	13078
331	2601	13070
332	2609	13062
333	2616	13053
334	2625	13047
335	2632	13039
336	2640	13031
337	2648	13024
338	2656	13015
339	2664	13009
340	2672	13001
341	2680	12992
342	2687	12983
343	2695	12977
344	2704	12973
345	2712	12965
346	2720	12958
347	2727	12950
348	2735	12939
349	2743	12931
350	2750	12920
351	2757	12911
352	2765	12900
353	2772	12890
354	2779	12877
355	2786	12867
356	2793	12856
357	2801	12848
358	2808	12838
359	2815	12828
360	2823	12816
361	2830	12807
362	2837	12797
363	2845	12788
364	2853	12781
365	2860	12771
366	2867	12761
367	2875	12750
368	2882	12738
369	2889	12727
370	2896	12717
371	2903	12705
372	2910	12696
373	2917	12684
374	2924	12674
375	2931	12662
376	2938	12650
377	2945	12639
378	2952	12628
379	2960	12619
380	2967	12609
381	2974	12599
382	2981	12588
383	2988	12578
384	2996	12568
385	3003	12557
386	3010	12545
387	3017	12535
388	3024	12526
389	3032	12517
390	3039	12506
391	3046	12496
392	3054	12488
